IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.157.38,443,443,true,FRA,Europe,Frankfurt,172,9.69
34.65.233.148,443,443,true,FRA,Europe,Frankfurt,168,9.68
34.65.179.199,443,443,true,FRA,Europe,Frankfurt,184,9.66
34.154.118.223,443,443,true,CDG,Europe,Paris,175,9.66
34.89.206.136,443,443,true,FRA,Europe,Frankfurt,163,9.64
34.65.202.220,443,443,true,FRA,Europe,Frankfurt,164,9.62
34.91.211.239,443,443,true,FRA,Europe,Frankfurt,172,9.61
34.89.171.140,443,443,true,CDG,Europe,Paris,163,9.61
34.107.35.197,443,443,true,FRA,Europe,Frankfurt,212,9.59
34.65.213.121,443,443,true,FRA,Europe,Frankfurt,161,9.58
34.118.57.218,443,443,true,FRA,Europe,Frankfurt,189,9.53
34.154.27.72,443,443,true,CDG,Europe,Paris,162,9.51
34.65.71.87,443,443,true,FRA,Europe,Frankfurt,165,9.50
34.123.129.225,8080,80,false,ORD,North America,Chicago,204,9.48
34.116.158.237,443,443,true,FRA,Europe,Frankfurt,189,9.48
34.65.39.49,443,443,true,FRA,Europe,Frankfurt,176,9.47
34.116.190.20,443,443,true,FRA,Europe,Frankfurt,179,9.47
34.141.239.164,443,443,true,FRA,Europe,Frankfurt,160,9.46
34.65.241.102,443,443,true,CDG,Europe,Paris,174,9.46
34.65.147.145,443,443,true,FRA,Europe,Frankfurt,176,9.44
35.232.39.116,80,80,false,DFW,North America,Dallas,205,9.41
34.116.128.44,443,443,true,FRA,Europe,Frankfurt,186,9.40
34.65.23.198,443,443,true,CDG,Europe,Paris,161,9.37
34.65.23.198,443,443,true,FRA,Europe,Frankfurt,161,9.32
34.65.90.219,443,443,true,FRA,Europe,Frankfurt,161,9.28
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,179,9.27
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,172,9.26
35.232.160.115,443,443,true,ORD,North America,Chicago,205,9.18
34.118.102.224,443,443,true,FRA,Europe,Frankfurt,205,9.18
34.118.107.40,443,443,true,FRA,Europe,Frankfurt,184,9.09
34.118.53.218,443,443,true,FRA,Europe,Frankfurt,183,9.08
34.29.228.169,443,443,true,ORD,North America,Chicago,206,9.08
35.202.158.120,443,443,true,ORD,North America,Chicago,206,9.06
34.65.226.145,443,443,true,FRA,Europe,Frankfurt,181,9.04
34.150.133.11,443,443,true,IAD,North America,Ashburn,212,9.03
34.122.12.237,443,443,true,ORD,North America,Chicago,205,9.03
34.65.213.174,443,443,true,CDG,Europe,Paris,159,9.01
34.122.12.237,443,443,true,ORD,North America,Chicago,224,9.01
34.29.228.169,443,443,true,ORD,North America,Chicago,205,9.00
34.27.194.227,2053,443,true,ORD,North America,Chicago,206,9.00
34.27.194.227,8443,443,true,ORD,North America,Chicago,206,8.98
35.202.158.120,443,443,true,ORD,North America,Chicago,205,8.98
34.118.53.102,443,443,true,AMS,Europe,Amsterdam,173,8.98
34.150.180.124,443,443,true,IAD,North America,Ashburn,214,8.98
34.27.194.227,8443,443,true,ORD,North America,Chicago,207,8.95
34.145.145.76,443,443,true,IAD,North America,Ashburn,312,8.94
34.118.122.37,443,443,true,FRA,Europe,Frankfurt,209,8.93
104.197.3.69,443,443,true,ORD,North America,Chicago,207,8.93
34.27.194.227,2053,443,true,ORD,North America,Chicago,207,8.92
34.116.145.162,443,443,true,FRA,Europe,Frankfurt,178,8.90
34.116.146.232,443,443,true,FRA,Europe,Frankfurt,178,8.90
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,176,8.89
34.150.133.11,443,443,true,IAD,North America,Ashburn,212,8.87
34.107.35.197,443,443,true,FRA,Europe,Frankfurt,184,8.86
34.122.12.237,443,443,true,ORD,North America,Chicago,239,8.86
35.199.37.84,443,0,true,IAD,North America,Ashburn,219,8.85
